"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",3410,37438892,10979.147214,84.58,30,12645810,290185.260477
"KERNEL_DISPATCH",777,5144066,6620.419562,11.62,960,143882,13939.301278
"MEMORY_ALLOCATION",24,1553032,64709.666667,3.51,30,269888,94909.236784
"MEMORY_COPY",8,126161,15770.125000,0.2850,4000,33561,10973.940436
