"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",2223,59177718,26620.655870,84.93,30,11863175,341934.310284
"MEMORY_COPY",613,5577338,9098.430669,8.00,3760,43441,5023.607704
"KERNEL_DISPATCH",511,4923289,9634.616438,7.07,1440,145241,17108.579403
