"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",3573,38998046,10914.650434,86.98,20,13884043,328338.406934
"KERNEL_DISPATCH",864,5148576,5959.000000,11.48,960,75202,12584.433334
"MEMORY_ALLOCATION",15,508234,33882.266667,1.13,151,245021,80312.866870
"MEMORY_COPY",26,181442,6978.538462,0.4047,5720,18440,2658.589900
